epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,322.635,1.33181,2.04201,1.37805,0.6819,0.58934,0.61025,0.31977,1.53318,1.67905,1.55387,0.00332773,0.00332773,0.00332773
2,639.968,1.18922,1.03865,1.2171,0.63646,0.49768,0.55059,0.2549,1.95594,1.76381,1.94211,0.00645499,0.00645499,0.00645499
3,955.93,1.23797,0.94824,1.25085,0.65736,0.56651,0.57475,0.30333,1.82534,1.68712,1.83911,0.00937599,0.00937599,0.00937599
4,1265.42,1.12982,0.78565,1.19121,0.71377,0.61416,0.61513,0.33626,1.80645,1.51803,1.76382,0.00907188,0.00907188,0.00907188
5,1574.99,1.04663,0.68011,1.1392,0.75091,0.68299,0.72747,0.44385,1.57038,1.18188,1.5687,0.0087625,0.0087625,0.0087625
6,1887.36,0.98633,0.61291,1.09987,0.70646,0.5495,0.57611,0.31389,1.99573,1.51135,1.88163,0.00845313,0.00845313,0.00845313
7,2197.41,0.93892,0.57029,1.0744,0.74899,0.64593,0.68374,0.38992,1.79564,1.30033,1.73092,0.00814375,0.00814375,0.00814375
8,2510.43,0.89779,0.53273,1.05587,0.67718,0.57445,0.58038,0.30327,2.07383,1.45514,1.9953,0.00783438,0.00783438,0.00783438
9,2820.71,0.86074,0.50391,1.03305,0.73662,0.61052,0.64235,0.36298,1.95011,1.45457,1.88801,0.007525,0.007525,0.007525
10,3133.2,0.82786,0.47887,1.0167,0.68802,0.60716,0.61933,0.36744,1.88196,1.41667,1.81465,0.00721562,0.00721562,0.00721562
11,3443.24,0.80166,0.45783,1.00512,0.71473,0.57876,0.62012,0.35952,1.97795,1.43407,1.88189,0.00690625,0.00690625,0.00690625
12,3753.17,0.78002,0.44236,0.99308,0.68428,0.65685,0.62406,0.34767,1.93424,1.45229,1.88759,0.00659688,0.00659688,0.00659688
13,4063,0.75809,0.42372,0.98618,0.683,0.63236,0.60785,0.33758,2.02239,1.40778,2.01479,0.0062875,0.0062875,0.0062875
14,4373.43,0.7342,0.41279,0.97374,0.7243,0.63463,0.64867,0.38988,1.91085,1.28342,1.88787,0.00597812,0.00597812,0.00597812
15,4683.17,0.7135,0.39551,0.96629,0.74349,0.62537,0.65078,0.3752,1.91815,1.44321,1.9046,0.00566875,0.00566875,0.00566875
16,4993.63,0.69357,0.38337,0.95763,0.7449,0.60026,0.63672,0.36845,1.98191,1.41365,1.93224,0.00535937,0.00535937,0.00535937
17,5303.99,0.67728,0.3728,0.9504,0.71012,0.60796,0.61551,0.34319,2.01514,1.39587,1.99569,0.00505,0.00505,0.00505
18,5613.92,0.66166,0.36243,0.94537,0.72458,0.64626,0.6616,0.36784,2.02805,1.36569,2.03007,0.00474063,0.00474063,0.00474063
19,5924.37,0.64319,0.35099,0.93767,0.75407,0.59067,0.64739,0.3647,2.0124,1.40494,2.01882,0.00443125,0.00443125,0.00443125
20,6234.73,0.62592,0.344,0.92992,0.72557,0.60628,0.63093,0.36962,2.00436,1.398,2.01131,0.00412187,0.00412187,0.00412187
21,6544.76,0.60929,0.33245,0.92473,0.71714,0.63005,0.6442,0.36036,2.04222,1.35156,2.06141,0.0038125,0.0038125,0.0038125
22,6855.12,0.59272,0.32372,0.91835,0.74255,0.62611,0.65542,0.37604,2.01338,1.41479,2.03328,0.00350313,0.00350313,0.00350313
23,7165.75,0.50404,0.24696,0.85395,0.69111,0.6188,0.64269,0.3766,2.04586,1.40028,2.04874,0.00319375,0.00319375,0.00319375
24,7474.99,0.4733,0.23521,0.84336,0.72981,0.60622,0.65048,0.38496,2.03686,1.40095,2.04215,0.00288438,0.00288438,0.00288438
25,7783.45,0.44993,0.22761,0.83576,0.7461,0.59563,0.64748,0.37127,2.09026,1.41635,2.14797,0.002575,0.002575,0.002575
26,8092.59,0.42969,0.21666,0.82867,0.71667,0.61648,0.65288,0.38499,2.04236,1.38005,2.10283,0.00226562,0.00226562,0.00226562
27,8401.35,0.40884,0.20722,0.8244,0.74038,0.60986,0.6501,0.38183,2.04976,1.42355,2.11506,0.00195625,0.00195625,0.00195625
28,8709.58,0.39086,0.20026,0.81684,0.72446,0.6125,0.65565,0.3804,2.06292,1.45717,2.12974,0.00164688,0.00164688,0.00164688
29,9017.85,0.37217,0.19153,0.81048,0.74027,0.60831,0.66044,0.38415,2.06752,1.45466,2.15457,0.0013375,0.0013375,0.0013375
30,9326.48,0.35347,0.18315,0.80597,0.74661,0.59476,0.65531,0.38326,2.06875,1.45871,2.18404,0.00102812,0.00102812,0.00102812
31,9634.71,0.33665,0.17441,0.80266,0.74802,0.59497,0.65565,0.38474,2.09058,1.44756,2.23848,0.00071875,0.00071875,0.00071875
32,9943.18,0.31876,0.16684,0.79712,0.75465,0.58829,0.65756,0.38859,2.09372,1.4621,2.25553,0.000409375,0.000409375,0.000409375
