epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.28566,2.00598,3.65116,2.02706,0.00308,0.67273,0.00502,0.00198,2.186,4.01468,2.41005,0.0002,0.0002,0.0002
2,16.3965,1.65243,3.01773,1.62878,0.00417,0.90909,0.09909,0.03109,2.44666,3.90054,2.06904,0.000413503,0.000413503,0.000413503
3,24.5822,1.54932,2.31117,1.5029,0.2424,0.04545,0.09213,0.02877,1.90403,3.76982,1.80465,0.0006202,0.0006202,0.0006202
4,32.6845,1.44038,2.04122,1.41801,0.09412,0.48182,0.23043,0.08867,1.87238,3.48361,1.75728,0.000820091,0.000820091,0.000820091
5,40.869,1.43873,1.77712,1.38685,0.48812,0.13876,0.16259,0.05762,1.91871,3.69003,2.39078,0.00101318,0.00101318,0.00101318
6,49.1022,1.44586,1.75384,1.39304,0.87624,0.00909,0.00715,0.00182,2.58954,4.52046,3.00749,0.00119945,0.00119945,0.00119945
7,57.3568,1.45158,1.73626,1.39284,0.0025,0.54545,0.00266,0.00061,2.8917,4.05662,3.04182,0.00137893,0.00137893,0.00137893
8,65.7022,1.48358,1.68407,1.43322,0.00329,0.71818,0.00401,0.00135,2.71195,3.62621,2.97884,0.00155159,0.00155159,0.00155159
9,73.9533,1.50082,1.57486,1.46709,0.21722,0.13636,0.09015,0.03922,2.15528,3.11665,2.32738,0.00171745,0.00171745,0.00171745
10,82.5568,1.41093,1.42288,1.38754,0.46854,0.15455,0.12494,0.04514,2.66203,3.14368,2.54928,0.00172156,0.00172156,0.00172156
11,90.7327,1.41246,1.33799,1.38858,0.34391,0.13636,0.10529,0.04049,2.42611,3.21665,2.2846,0.00169063,0.00169063,0.00169063
12,99.0471,1.43492,1.34799,1.39786,0.44513,0.19091,0.1927,0.07569,2.32003,2.9904,2.31676,0.00165969,0.00165969,0.00165969
13,107.329,1.45335,1.2986,1.41246,0.3774,0.39678,0.34991,0.13322,2.24811,2.32208,2.28286,0.00162875,0.00162875,0.00162875
14,116.209,1.37746,1.23425,1.35427,0.59164,0.39517,0.46654,0.23355,1.79474,1.895,1.62438,0.00159781,0.00159781,0.00159781
15,124.639,1.38184,1.17815,1.34232,0.49297,0.55455,0.48988,0.22181,1.85498,1.80973,1.60411,0.00156688,0.00156688,0.00156688
16,133.641,1.38383,1.21277,1.37545,0.5827,0.43636,0.42769,0.15674,2.05259,2.42849,2.05262,0.00153594,0.00153594,0.00153594
17,142.253,1.31419,1.11814,1.31526,0.62709,0.51818,0.59006,0.27986,1.73527,2.29463,1.86148,0.001505,0.001505,0.001505
18,150.652,1.31249,1.0708,1.31435,0.67764,0.58182,0.63192,0.30019,1.73246,1.75506,1.79029,0.00147406,0.00147406,0.00147406
19,159.07,1.25003,1.02148,1.28343,0.57006,0.67503,0.66307,0.31726,1.76978,1.56814,1.75078,0.00144312,0.00144312,0.00144312
20,167.564,1.24623,1.00655,1.28741,0.57804,0.54797,0.58423,0.28658,1.6933,1.65206,1.67137,0.00141219,0.00141219,0.00141219
21,175.96,1.2754,1.00263,1.3055,0.77577,0.62904,0.73628,0.41513,1.50738,1.18755,1.4901,0.00138125,0.00138125,0.00138125
22,184.446,1.20222,0.93506,1.25697,0.62822,0.5,0.56097,0.28013,1.68352,1.76624,1.71115,0.00135031,0.00135031,0.00135031
23,193.092,1.25768,1.01897,1.2811,0.67465,0.64545,0.68789,0.33351,1.7554,1.4591,1.68033,0.00131938,0.00131938,0.00131938
24,201.508,1.19906,0.91791,1.24733,0.76258,0.61818,0.71096,0.38609,1.66564,1.31505,1.62648,0.00128844,0.00128844,0.00128844
25,209.967,1.15538,0.87716,1.23034,0.84547,0.59689,0.70605,0.37135,1.62567,1.41389,1.5852,0.0012575,0.0012575,0.0012575
26,219.118,1.1928,0.91706,1.2502,0.6523,0.73339,0.67924,0.37573,1.47381,1.38899,1.53217,0.00122656,0.00122656,0.00122656
27,227.429,1.18088,0.90768,1.23975,0.41531,0.49091,0.40468,0.18015,2.0053,1.84695,1.7073,0.00119562,0.00119562,0.00119562
28,235.91,1.1249,0.86682,1.21023,0.73823,0.76364,0.77696,0.43489,1.55759,1.07905,1.49247,0.00116469,0.00116469,0.00116469
29,244.319,1.11806,0.80859,1.20342,0.70742,0.79132,0.7835,0.45268,1.56975,1.03059,1.47138,0.00113375,0.00113375,0.00113375
30,252.834,1.07385,0.8001,1.17794,0.78075,0.64748,0.75378,0.4278,1.49179,1.34092,1.45604,0.00110281,0.00110281,0.00110281
31,261.451,1.1025,0.81509,1.20698,0.79796,0.63636,0.75671,0.40405,1.54102,1.34432,1.48816,0.00107187,0.00107187,0.00107187
32,269.864,1.062,0.76224,1.16018,0.74758,0.83636,0.82026,0.4376,1.4709,1,1.52688,0.00104094,0.00104094,0.00104094
33,278.354,1.04848,0.74999,1.16222,0.77242,0.76364,0.80232,0.46753,1.42054,1.01905,1.46596,0.00101,0.00101,0.00101
34,287.011,1.05851,0.74893,1.15383,0.83368,0.70909,0.8026,0.44659,1.43665,1.00957,1.47833,0.000979063,0.000979063,0.000979063
35,295.449,1.05174,0.7467,1.16124,0.78194,0.72727,0.77387,0.40652,1.5801,1.17465,1.56948,0.000948125,0.000948125,0.000948125
36,304.01,1.02856,0.7147,1.14915,0.81305,0.68182,0.77457,0.38061,1.63369,1.22771,1.61403,0.000917188,0.000917188,0.000917188
37,312.416,1.06462,0.7305,1.16787,0.60739,0.72727,0.71461,0.34499,1.59099,1.26772,1.62045,0.00088625,0.00088625,0.00088625
38,320.91,0.95648,0.70112,1.10329,0.76891,0.75455,0.78484,0.41964,1.521,1.10152,1.54669,0.000855313,0.000855313,0.000855313
39,329.368,0.98114,0.668,1.12553,0.75867,0.75455,0.76969,0.40575,1.69833,1.0863,1.59008,0.000824375,0.000824375,0.000824375
40,337.852,0.99826,0.65451,1.139,0.79356,0.76364,0.81296,0.44036,1.50398,0.96935,1.56243,0.000793437,0.000793437,0.000793437
41,346.348,0.96915,0.65549,1.11283,0.80443,0.77273,0.78524,0.40698,1.63444,0.9794,1.64714,0.0007625,0.0007625,0.0007625
42,354.775,0.95619,0.66339,1.10088,0.82849,0.78182,0.8492,0.47084,1.51028,0.96407,1.49781,0.000731563,0.000731563,0.000731563
43,363.399,0.92667,0.62128,1.08819,0.86881,0.78264,0.85253,0.47624,1.4796,0.94463,1.51948,0.000700625,0.000700625,0.000700625
44,371.828,0.9292,0.64706,1.09431,0.87638,0.80909,0.86,0.49118,1.45026,0.87322,1.46907,0.000669688,0.000669688,0.000669688
45,380.374,0.89544,0.64812,1.07686,0.9448,0.79091,0.89376,0.50268,1.47546,0.7658,1.50227,0.00063875,0.00063875,0.00063875
46,389.334,0.9085,0.61204,1.07405,0.86405,0.76364,0.85966,0.43863,1.55727,0.93879,1.56249,0.000607812,0.000607812,0.000607812
