epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,318.39,1.34923,2.16671,1.40193,0.6341,0.51196,0.55027,0.28409,1.61624,1.94808,1.5004,0.00332479,0.00332479,0.00332479
2,625.206,1.1661,1.06198,1.20625,0.67616,0.65874,0.65775,0.36698,1.64903,1.45101,1.60593,0.00645213,0.00645213,0.00645213
3,931.277,1.20104,0.91863,1.23005,0.59448,0.39558,0.41193,0.16067,2.29411,2.15924,2.1333,0.00937323,0.00937323,0.00937323
4,1241.16,1.19592,0.86303,1.22631,0.56753,0.31644,0.32695,0.17794,2.06538,2.28038,1.90927,0.00907188,0.00907188,0.00907188
5,1545.8,1.08373,0.71371,1.15505,0.6515,0.47764,0.53586,0.28533,1.91719,1.6663,1.8354,0.0087625,0.0087625,0.0087625
6,1850.53,1.00378,0.6318,1.11091,0.83679,0.7289,0.79105,0.41849,1.66024,1.02026,1.65383,0.00845313,0.00845313,0.00845313
7,2155.22,0.94981,0.57734,1.08229,0.68873,0.63467,0.66994,0.36562,1.7857,1.21197,1.71403,0.00814375,0.00814375,0.00814375
8,2462.6,0.9069,0.53736,1.05748,0.70727,0.65743,0.69585,0.39612,1.66923,1.19476,1.63535,0.00783438,0.00783438,0.00783438
9,2767.46,0.85835,0.5022,1.0321,0.80542,0.63339,0.71897,0.4008,1.77067,1.16161,1.65234,0.007525,0.007525,0.007525
10,3072.37,0.83112,0.47775,1.01806,0.78431,0.67778,0.73285,0.386,1.83456,1.17154,1.72207,0.00721562,0.00721562,0.00721562
11,3377.1,0.80233,0.45569,1.00361,0.77049,0.69238,0.7361,0.40509,1.77327,1.02611,1.72114,0.00690625,0.00690625,0.00690625
12,3682.07,0.77368,0.43574,0.99239,0.75847,0.63973,0.6837,0.3585,1.84576,1.18081,1.74278,0.00659688,0.00659688,0.00659688
13,3987.09,0.75106,0.42088,0.98047,0.73377,0.66782,0.69898,0.38561,1.8156,1.21789,1.79567,0.0062875,0.0062875,0.0062875
14,4291.77,0.72801,0.40437,0.96951,0.76067,0.64547,0.70203,0.38751,1.82876,1.21914,1.80644,0.00597812,0.00597812,0.00597812
15,4596.18,0.71054,0.39404,0.96397,0.75812,0.63752,0.68835,0.36422,1.84712,1.21501,1.75277,0.00566875,0.00566875,0.00566875
16,4900.35,0.68972,0.38069,0.95641,0.79065,0.68545,0.73546,0.40657,1.80455,1.08835,1.75913,0.00535937,0.00535937,0.00535937
17,5204.77,0.67088,0.36852,0.94745,0.7935,0.70592,0.74269,0.4055,1.78043,1.07556,1.73994,0.00505,0.00505,0.00505
18,5509,0.65357,0.35869,0.9419,0.75313,0.72135,0.74074,0.40937,1.79064,1.03048,1.77876,0.00474063,0.00474063,0.00474063
19,5813.26,0.63498,0.346,0.93596,0.78528,0.69805,0.74649,0.41193,1.72222,1.10148,1.72121,0.00443125,0.00443125,0.00443125
20,6117.47,0.62261,0.33909,0.9303,0.79236,0.65617,0.72886,0.39677,1.82524,1.08806,1.84115,0.00412187,0.00412187,0.00412187
21,6421.91,0.6056,0.33033,0.92284,0.76685,0.68986,0.73423,0.40734,1.79427,1.06486,1.80635,0.0038125,0.0038125,0.0038125
22,6726.23,0.58559,0.31845,0.9152,0.75821,0.66341,0.715,0.40659,1.79383,1.11001,1.78005,0.00350313,0.00350313,0.00350313
23,7032.45,0.50211,0.24815,0.85501,0.79775,0.71914,0.76439,0.42949,1.78068,1.02985,1.76893,0.00319375,0.00319375,0.00319375
24,7336.26,0.46923,0.23511,0.84431,0.77298,0.72899,0.76046,0.42744,1.82374,1.05745,1.8025,0.00288438,0.00288438,0.00288438
25,7639.19,0.44857,0.2252,0.83605,0.78951,0.73692,0.76987,0.43086,1.78441,1.01323,1.80612,0.002575,0.002575,0.002575
26,7942.84,0.42442,0.2153,0.82665,0.78948,0.72607,0.77213,0.43825,1.79683,1.02719,1.83204,0.00226562,0.00226562,0.00226562
27,8246.61,0.40505,0.20635,0.82214,0.79302,0.70277,0.76159,0.43561,1.80769,1.02717,1.85762,0.00195625,0.00195625,0.00195625
28,8550.56,0.38699,0.19849,0.81766,0.79524,0.73128,0.77502,0.4437,1.81097,1.02785,1.87419,0.00164688,0.00164688,0.00164688
29,8854.01,0.36839,0.18904,0.80928,0.78429,0.72261,0.7696,0.43532,1.82951,1.05708,1.88617,0.0013375,0.0013375,0.0013375
30,9157.53,0.34927,0.18112,0.80423,0.78191,0.72361,0.76905,0.43647,1.82474,1.05931,1.89236,0.00102812,0.00102812,0.00102812
31,9461.2,0.33275,0.17348,0.80015,0.79464,0.71273,0.76641,0.43547,1.83112,1.05973,1.91576,0.00071875,0.00071875,0.00071875
32,9764.92,0.31477,0.16455,0.79568,0.78944,0.71725,0.76804,0.43773,1.82371,1.05465,1.91702,0.000409375,0.000409375,0.000409375
