epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.22562,1.97843,3.66084,1.9954,0.00366,0.8018,0.00722,0.00211,2.54185,4.08782,2.12341,0.0002,0.0002,0.0002
2,16.4581,1.63778,2.9144,1.51295,0.00383,0.83784,0.20141,0.06519,2.16343,3.62126,2.08382,0.000413503,0.000413503,0.000413503
3,24.6133,1.50318,2.15504,1.46326,0.00383,0.83784,0.21039,0.0809,1.92336,3.64874,1.99599,0.0006202,0.0006202,0.0006202
4,32.6951,1.43914,1.92578,1.39125,0.00366,0.8018,0.19189,0.086,2.00267,3.6118,1.83457,0.000820091,0.000820091,0.000820091
5,40.7874,1.46728,1.89284,1.43342,0.7678,0.11712,0.23917,0.11954,1.95783,3.2921,2.01456,0.00101318,0.00101318,0.00101318
6,48.865,1.36716,1.5996,1.35689,0.45602,0.30631,0.28539,0.11002,1.93147,3.1289,2.20769,0.00119945,0.00119945,0.00119945
7,56.9221,1.45738,1.7067,1.44011,0.3949,0.01802,0.05539,0.01422,2.45224,3.79238,2.37221,0.00137893,0.00137893,0.00137893
8,64.9753,1.49937,1.67762,1.47054,0.39997,0.10811,0.11393,0.05187,2.4133,3.27962,2.56646,0.00155159,0.00155159,0.00155159
9,73.0396,1.53309,1.754,1.50957,0.00119,0.26126,0.001,0.00023,4.09705,4.13623,4.32993,0.00171745,0.00171745,0.00171745
10,81.1044,1.47204,1.46979,1.42018,0.0015,0.32432,0.00122,0.00026,3.80933,3.95876,4.87725,0.00172156,0.00172156,0.00172156
11,89.142,1.42732,1.38714,1.41891,0.00063,0.12613,0.00037,9e-05,4.50132,5.27856,6.52592,0.00169063,0.00169063,0.00169063
12,97.2099,1.36139,1.34799,1.36623,0.00329,0.40541,0.00419,0.00088,3.47483,3.89252,3.89631,0.00165969,0.00165969,0.00165969
13,105.291,1.40733,1.24426,1.3981,0.0021,0.45946,0.00164,0.00041,3.28871,3.90805,3.12992,0.00162875,0.00162875,0.00162875
14,113.505,1.39457,1.20805,1.39032,0.00368,0.4955,0.00672,0.00157,3.18928,3.85964,3.13584,0.00159781,0.00159781,0.00159781
15,121.574,1.28408,1.15463,1.31945,0.31065,0.43243,0.2525,0.10849,2.06263,2.46037,2.18218,0.00156688,0.00156688,0.00156688
