epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.10189,1.996,3.64491,2.01054,0.00367,0.83654,0.00511,0.00157,2.20265,4.04228,2.12341,0.0002,0.0002,0.0002
2,122.238,1.64236,3.03031,1.59875,0.00384,0.875,0.06427,0.02089,2.23161,3.81781,2.05726,0.000413503,0.000413503,0.000413503
3,131.09,1.49332,2.1934,1.45437,0.00367,0.83654,0.01882,0.00549,2.21888,3.94065,2.22595,0.0006202,0.0006202,0.0006202
4,139.473,1.42411,1.89857,1.37876,0.00384,0.875,0.00855,0.00325,2.15943,3.99424,2.2402,0.000820091,0.000820091,0.000820091
5,147.65,1.39502,1.83939,1.38803,0.11203,0.06731,0.02943,0.00861,2.14099,3.94265,2.39295,0.00101318,0.00101318,0.00101318
6,155.795,1.44764,1.77459,1.41415,0.0008,0.18269,0.00048,0.00013,2.84761,5.87606,2.69172,0.00119945,0.00119945,0.00119945
7,163.815,1.3921,1.65954,1.38128,0.00241,0.54808,0.00707,0.00227,2.40479,3.7728,2.39665,0.00137893,0.00137893,0.00137893
8,171.862,1.4059,1.58919,1.37301,0.00354,0.80769,0.00439,0.00148,2.42639,3.63029,2.43307,0.00155159,0.00155159,0.00155159
9,179.88,1.46168,1.50632,1.38568,0.00177,0.40385,0.00315,0.00081,3.23292,3.96799,3.81481,0.00171745,0.00171745,0.00171745
10,187.986,1.47558,1.49885,1.42705,0.20217,0.19231,0.09775,0.0372,2.19455,2.94286,2.25393,0.00172156,0.00172156,0.00172156
11,196.1,1.39132,1.35743,1.38294,0.16639,0.03846,0.03076,0.01635,2.91868,3.45744,3.03313,0.00169063,0.00169063,0.00169063
12,204.191,1.3928,1.36709,1.39475,0.27549,0.35577,0.21159,0.09767,2.18661,2.73086,2.2838,0.00165969,0.00165969,0.00165969
13,212.335,1.37965,1.29991,1.3579,0.65438,0.51923,0.52306,0.23392,1.89333,1.85717,1.94307,0.00162875,0.00162875,0.00162875
14,220.575,1.34844,1.25381,1.3307,0.42156,0.39423,0.34507,0.17119,1.94705,2.11626,2.0229,0.00159781,0.00159781,0.00159781
15,228.787,1.29608,1.16025,1.3158,0.63882,0.59615,0.62852,0.30327,1.81559,1.62179,1.79976,0.00156688,0.00156688,0.00156688
16,237.055,1.32881,1.13707,1.33581,0.43441,0.33654,0.30878,0.12184,2.01799,2.49747,1.78623,0.00153594,0.00153594,0.00153594
17,245.327,1.2728,1.07822,1.28835,0.52798,0.39423,0.47198,0.27452,1.73008,2.05011,1.72111,0.001505,0.001505,0.001505
18,253.647,1.25239,1.04256,1.26796,0.57223,0.59169,0.55917,0.28925,1.81146,2.05546,1.82415,0.00147406,0.00147406,0.00147406
19,261.992,1.24374,1.0154,1.27348,0.56741,0.56731,0.52866,0.27449,1.78537,1.71065,1.7023,0.00144312,0.00144312,0.00144312
20,270.402,1.20499,1.03051,1.26405,0.68738,0.625,0.68309,0.34931,1.6441,1.33048,1.66155,0.00141219,0.00141219,0.00141219
21,278.805,1.19026,0.96786,1.26126,0.74929,0.625,0.72502,0.38738,1.60072,1.28081,1.60154,0.00138125,0.00138125,0.00138125
22,287.235,1.17883,0.95195,1.2507,0.58855,0.53846,0.55849,0.2553,1.95408,1.85307,1.78779,0.00135031,0.00135031,0.00135031
23,295.818,1.17685,0.93874,1.24651,0.78543,0.625,0.72496,0.35582,1.76872,1.39475,1.64338,0.00131938,0.00131938,0.00131938
24,304.214,1.16584,0.90657,1.22292,0.73662,0.63462,0.71091,0.36527,1.7462,1.3285,1.6715,0.00128844,0.00128844,0.00128844
25,312.641,1.15886,0.89472,1.2183,0.85338,0.77885,0.8633,0.48476,1.51768,1.01257,1.54034,0.0012575,0.0012575,0.0012575
26,321.084,1.13252,0.85271,1.20691,0.84939,0.66346,0.80592,0.45619,1.46924,1.05351,1.44231,0.00122656,0.00122656,0.00122656
27,329.637,1.11901,0.90488,1.19443,0.85038,0.71044,0.84636,0.4948,1.3971,1.00721,1.42772,0.00119562,0.00119562,0.00119562
28,338.26,1.07892,0.81629,1.19105,0.79487,0.72115,0.78883,0.42248,1.61573,1.09748,1.56562,0.00116469,0.00116469,0.00116469
29,346.641,1.06929,0.79155,1.16559,0.85934,0.70497,0.82767,0.45014,1.58627,1.0182,1.51656,0.00113375,0.00113375,0.00113375
30,355.057,1.03793,0.77535,1.14384,0.80704,0.84453,0.88158,0.47231,1.56518,0.89446,1.53794,0.00110281,0.00110281,0.00110281
31,363.501,1.05218,0.80785,1.16805,0.71885,0.61538,0.67681,0.32724,1.80767,1.39862,1.7487,0.00107187,0.00107187,0.00107187
32,371.949,1.02072,0.7549,1.13655,0.85486,0.84953,0.88761,0.48713,1.51023,0.82858,1.49894,0.00104094,0.00104094,0.00104094
33,380.405,0.99738,0.7083,1.13824,0.84254,0.75,0.81028,0.41706,1.66184,1.0081,1.62058,0.00101,0.00101,0.00101
34,388.867,1.04338,0.75593,1.13748,0.82374,0.77885,0.86342,0.48129,1.54287,0.90526,1.49349,0.000979063,0.000979063,0.000979063
35,397.277,1.01062,0.71049,1.13428,0.79637,0.78969,0.83096,0.47152,1.46745,0.95707,1.47036,0.000948125,0.000948125,0.000948125
36,405.791,0.95737,0.66187,1.10999,0.83563,0.83104,0.88709,0.53462,1.45147,0.86097,1.44934,0.000917188,0.000917188,0.000917188
37,414.245,0.98782,0.68648,1.10819,0.91923,0.83654,0.92485,0.50982,1.50916,0.75579,1.495,0.00088625,0.00088625,0.00088625
38,422.712,0.95942,0.67833,1.10051,0.82829,0.78852,0.85973,0.48134,1.6102,0.92048,1.54018,0.000855313,0.000855313,0.000855313
39,431.146,0.96255,0.65344,1.09922,0.90452,0.75962,0.87359,0.51605,1.38339,0.88459,1.38543,0.000824375,0.000824375,0.000824375
40,439.594,0.91796,0.65677,1.08462,0.87158,0.81731,0.90181,0.53586,1.4482,0.77494,1.443,0.000793437,0.000793437,0.000793437
