epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.57414,1.96524,3.65806,1.9814,0.00345,0.725,0.0038,0.00123,2.36748,3.97396,2.41412,8e-05,8e-05,8e-05
2,114.443,1.9507,3.64777,1.9668,0.00329,0.69167,0.02694,0.00846,2.09825,3.70696,1.95504,0.000177216,0.000177216,0.000177216
3,119.32,1.68328,3.34125,1.6713,0.00413,0.86667,0.26278,0.10434,1.67699,3.47955,1.67978,0.000271338,0.000271338,0.000271338
4,123.874,1.50844,2.71922,1.48029,0.00448,0.94167,0.34427,0.17094,1.58417,3.31374,1.56034,0.000362366,0.000362366,0.000362366
5,128.375,1.5262,2.27126,1.45185,0.0044,0.925,0.19565,0.09329,1.67111,3.53246,1.69629,0.0004503,0.0004503,0.0004503
6,132.889,1.41436,2.08856,1.40681,0.00433,0.90833,0.0826,0.03687,1.91866,3.69009,1.89631,0.000535141,0.000535141,0.000535141
7,137.365,1.43019,2.02159,1.43706,0.00429,0.9,0.1371,0.0709,1.74215,3.53285,1.79709,0.000616888,0.000616888,0.000616888
8,141.849,1.36292,1.87917,1.35947,0.00783,0.58333,0.13704,0.08322,1.54261,3.45227,1.67685,0.000695541,0.000695541,0.000695541
9,146.309,1.40663,1.86737,1.41011,0.92485,0.05,0.19268,0.09826,1.69521,3.6125,2.00555,0.0007711,0.0007711,0.0007711
10,150.792,1.362,1.78127,1.38196,0.59211,0.13307,0.19556,0.07091,1.77959,3.5566,2.12219,0.000843566,0.000843566,0.000843566
11,155.241,1.38166,1.68875,1.38869,0.67847,0.175,0.25825,0.11728,1.76074,3.34886,1.84452,0.000912938,0.000912938,0.000912938
12,159.727,1.35442,1.66354,1.35118,0.6485,0.375,0.46511,0.23956,1.50749,2.87724,1.64966,0.000979216,0.000979216,0.000979216
13,164.236,1.26073,1.57087,1.31411,0.64725,0.28333,0.37867,0.18225,1.84205,3.04617,1.97508,0.0010424,0.0010424,0.0010424
14,168.679,1.326,1.52889,1.35782,0.73469,0.21667,0.3786,0.17271,1.84024,3.00157,1.86142,0.00110249,0.00110249,0.00110249
15,173.157,1.36386,1.49841,1.36301,0.5726,0.175,0.26964,0.13688,1.74146,3.1084,1.8626,0.00115949,0.00115949,0.00115949
16,177.619,1.33793,1.48863,1.31507,0.22796,0.09167,0.07645,0.04494,1.7609,3.36902,1.88011,0.00121339,0.00121339,0.00121339
17,182.09,1.27575,1.3918,1.31889,0.05589,0.06667,0.02584,0.00976,2.11783,3.36651,2.17143,0.0012642,0.0012642,0.0012642
18,186.566,1.36947,1.40977,1.38196,0.04491,0.11667,0.03442,0.01509,1.91326,3.22386,1.9975,0.00131192,0.00131192,0.00131192
19,191.031,1.31274,1.36354,1.33089,0.08681,0.19167,0.0608,0.02005,2.17454,3.27424,2.60294,0.00135654,0.00135654,0.00135654
20,195.49,1.25231,1.22935,1.29572,0.65922,0.01629,0.05417,0.02,2.14727,3.52764,2.60667,0.00139807,0.00139807,0.00139807
21,199.978,1.26423,1.27048,1.28003,0.4097,0.26607,0.23845,0.07674,2.22401,2.75875,2.34279,0.00138125,0.00138125,0.00138125
22,204.511,1.30717,1.25115,1.33474,0.55506,0.35833,0.36898,0.14593,2.24153,2.63955,2.70986,0.00135031,0.00135031,0.00135031
23,209,1.2655,1.22341,1.29592,0.5813,0.49167,0.55982,0.2614,1.89495,1.97355,1.95701,0.00131938,0.00131938,0.00131938
24,213.565,1.28167,1.20292,1.29278,0.53609,0.45,0.43883,0.20401,1.87925,2.1349,1.94486,0.00128844,0.00128844,0.00128844
25,218.086,1.29312,1.16384,1.32117,0.45729,0.46667,0.42418,0.22038,1.73063,2.071,1.785,0.0012575,0.0012575,0.0012575
26,222.619,1.29625,1.1701,1.31029,0.72955,0.5,0.53501,0.25305,1.80312,1.85626,1.8092,0.00122656,0.00122656,0.00122656
27,227.15,1.25085,1.13315,1.28869,0.51792,0.50833,0.45089,0.15551,2.05352,1.90463,2.01988,0.00119562,0.00119562,0.00119562
28,231.724,1.27667,1.12184,1.29036,0.67264,0.59167,0.60069,0.3149,1.71256,1.67619,1.75555,0.00116469,0.00116469,0.00116469
29,236.297,1.19709,1.03319,1.25698,0.61251,0.46667,0.52427,0.23768,1.9281,1.78683,1.93662,0.00113375,0.00113375,0.00113375
30,240.839,1.22522,1.05663,1.26255,0.65063,0.6,0.59355,0.30176,1.71723,1.57336,1.67364,0.00110281,0.00110281,0.00110281
31,245.423,1.15956,1.01007,1.22861,0.66596,0.76425,0.7173,0.38482,1.62456,1.31758,1.6955,0.00107187,0.00107187,0.00107187
32,249.971,1.18532,1.0061,1.23517,0.63621,0.61667,0.62065,0.3157,1.62103,1.52065,1.67242,0.00104094,0.00104094,0.00104094
33,254.534,1.15263,0.99491,1.21889,0.72155,0.69167,0.70641,0.38318,1.59981,1.33445,1.56298,0.00101,0.00101,0.00101
34,259.046,1.14829,0.93506,1.21082,0.68318,0.59167,0.64002,0.31892,1.70457,1.48129,1.5797,0.000979063,0.000979063,0.000979063
35,263.739,1.08802,0.86659,1.17403,0.70393,0.61423,0.63761,0.30413,1.7224,1.39452,1.59362,0.000948125,0.000948125,0.000948125
36,268.284,1.11224,0.87384,1.17779,0.83196,0.65833,0.77078,0.39302,1.66122,1.17398,1.57254,0.000917188,0.000917188,0.000917188
37,272.936,1.12925,0.86698,1.20768,0.75832,0.71667,0.72019,0.38565,1.56977,1.3176,1.51884,0.00088625,0.00088625,0.00088625
38,277.545,1.12278,0.86358,1.19914,0.76449,0.74167,0.75349,0.41038,1.52876,1.25093,1.5487,0.000855313,0.000855313,0.000855313
39,282.232,1.1033,0.8417,1.1778,0.79723,0.79167,0.78055,0.43653,1.47676,1.14239,1.4878,0.000824375,0.000824375,0.000824375
40,286.914,1.0932,0.86292,1.19355,0.76156,0.74528,0.77864,0.43792,1.49829,1.09702,1.45769,0.000793437,0.000793437,0.000793437
