epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,308.979,1.35648,2.14315,1.39844,0.60206,0.5144,0.53453,0.30348,1.53632,2.13021,1.60123,0.00332494,0.00332494,0.00332494
2,616.429,1.16464,1.05699,1.20589,0.52644,0.47509,0.43379,0.1869,1.96635,1.97477,1.91054,0.00645228,0.00645228,0.00645228
3,924.852,1.19689,0.93115,1.22577,0.47565,0.40122,0.36181,0.19064,1.98184,2.9066,2.1055,0.00937337,0.00937337,0.00937337
4,1233.31,1.18791,0.86572,1.21892,0.39567,0.40596,0.30617,0.12112,2.13912,2.67766,1.9962,0.00907188,0.00907188,0.00907188
5,1541.94,1.07484,0.71824,1.15319,0.69743,0.60556,0.60887,0.33584,1.77774,1.51829,1.71439,0.0087625,0.0087625,0.0087625
6,1849.36,1.00338,0.63461,1.10926,0.73339,0.60311,0.65346,0.34712,1.76239,1.38127,1.7507,0.00845313,0.00845313,0.00845313
7,2156.91,0.94639,0.5802,1.07967,0.67761,0.58116,0.61315,0.35137,1.73786,1.60381,1.68714,0.00814375,0.00814375,0.00814375
8,2464.42,0.89898,0.53811,1.05529,0.68984,0.54456,0.59451,0.34927,1.68752,1.47028,1.64641,0.00783438,0.00783438,0.00783438
9,2771.73,0.85621,0.49989,1.02988,0.62587,0.45713,0.46519,0.27109,1.89651,1.94201,1.79234,0.007525,0.007525,0.007525
10,3078.84,0.82746,0.47834,1.01433,0.68433,0.66924,0.64672,0.35942,1.76723,1.30795,1.67371,0.00721562,0.00721562,0.00721562
11,3386.16,0.79627,0.45558,1.00119,0.71939,0.61854,0.62257,0.33827,1.79206,1.50095,1.70968,0.00690625,0.00690625,0.00690625
12,3693.11,0.76584,0.43293,0.9849,0.71986,0.6225,0.6381,0.35866,1.8209,1.29539,1.81078,0.00659688,0.00659688,0.00659688
13,4000.03,0.74345,0.41833,0.97847,0.68996,0.5937,0.61264,0.31953,1.78655,1.55131,1.72464,0.0062875,0.0062875,0.0062875
14,4307.2,0.72026,0.40484,0.96536,0.73122,0.51948,0.58058,0.32446,1.81113,1.54188,1.81594,0.00597812,0.00597812,0.00597812
15,4613.92,0.701,0.39042,0.95864,0.6351,0.60571,0.60527,0.31822,1.87918,1.39706,1.82405,0.00566875,0.00566875,0.00566875
16,4922.07,0.68052,0.37628,0.95042,0.75609,0.64453,0.6777,0.3811,1.7766,1.42825,1.79227,0.00535937,0.00535937,0.00535937
17,5228.7,0.66004,0.36507,0.94216,0.72886,0.5998,0.64216,0.35992,1.80249,1.42368,1.79826,0.00505,0.00505,0.00505
18,5535.92,0.64855,0.35422,0.93862,0.73674,0.60014,0.64215,0.35159,1.84079,1.38321,1.82222,0.00474063,0.00474063,0.00474063
19,5842.77,0.6286,0.34536,0.93275,0.73793,0.61267,0.6536,0.377,1.80164,1.42641,1.78873,0.00443125,0.00443125,0.00443125
20,6149.37,0.60764,0.33431,0.92345,0.74176,0.56941,0.622,0.3616,1.82708,1.44881,1.87587,0.00412187,0.00412187,0.00412187
21,6456.3,0.59543,0.32561,0.91837,0.74045,0.61195,0.64331,0.36841,1.87376,1.40487,1.90614,0.0038125,0.0038125,0.0038125
22,6763.33,0.58238,0.31676,0.91347,0.74527,0.61073,0.64381,0.36651,1.84888,1.45454,1.8743,0.00350313,0.00350313,0.00350313
23,7072.26,0.49717,0.24689,0.85286,0.76873,0.62064,0.65832,0.37991,1.85021,1.3748,1.85827,0.00319375,0.00319375,0.00319375
24,7378.12,0.46602,0.23198,0.84009,0.72729,0.61979,0.65338,0.36726,1.85066,1.43472,1.82529,0.00288438,0.00288438,0.00288438
25,7684.2,0.44319,0.22399,0.83296,0.71887,0.61435,0.65247,0.36513,1.83511,1.49459,1.81879,0.002575,0.002575,0.002575
26,7990.24,0.42134,0.21484,0.82525,0.73602,0.62148,0.66365,0.37931,1.81242,1.46421,1.8543,0.00226562,0.00226562,0.00226562
27,8296.16,0.40265,0.20644,0.81958,0.73896,0.62792,0.67013,0.3934,1.84613,1.45801,1.88717,0.00195625,0.00195625,0.00195625
28,8601.22,0.38061,0.19568,0.81329,0.74326,0.60657,0.6615,0.37651,1.87107,1.51627,1.90562,0.00164688,0.00164688,0.00164688
29,8905.2,0.36268,0.1891,0.80852,0.73601,0.61132,0.65697,0.37923,1.89941,1.50791,1.96636,0.0013375,0.0013375,0.0013375
30,9209.48,0.34582,0.1806,0.80256,0.72764,0.61064,0.6498,0.37233,1.90732,1.52232,1.99045,0.00102812,0.00102812,0.00102812
31,9513.74,0.3267,0.17122,0.79843,0.72141,0.60895,0.64424,0.36759,1.90814,1.51906,2.00051,0.00071875,0.00071875,0.00071875
32,9818.02,0.30969,0.16262,0.79484,0.71768,0.61233,0.64606,0.36946,1.91589,1.51875,2.02254,0.000409375,0.000409375,0.000409375
