epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.78534,2.01904,3.67246,2.04377,0.00342,0.74545,0.00711,0.00185,2.35479,3.95214,2.41331,8e-05,8e-05,8e-05
2,9.19987,1.9718,3.69022,2.01153,0.00342,0.74545,0.01153,0.00302,2.30624,3.90472,2.33335,0.000177216,0.000177216,0.000177216
3,13.4854,1.7716,3.3629,1.7084,0.00417,0.90909,0.21151,0.0782,1.92296,3.49982,1.67217,0.000271338,0.000271338,0.000271338
4,17.9561,1.54158,2.66901,1.41539,0.00442,0.96364,0.24105,0.09072,1.9865,3.41861,1.70897,0.000362366,0.000362366,0.000362366
5,22.3883,1.46216,2.25707,1.40276,0.00438,0.95455,0.23594,0.09733,1.79472,3.40048,1.72872,0.0004503,0.0004503,0.0004503
6,26.8192,1.41619,1.9916,1.38283,0.00828,0.70909,0.1949,0.10154,1.68447,3.37392,1.58793,0.000535141,0.000535141,0.000535141
7,31.259,1.37165,1.9421,1.36733,0.77992,0.06451,0.29313,0.14214,1.60503,3.17951,1.51639,0.000616888,0.000616888,0.000616888
8,35.7048,1.36286,1.85441,1.34227,0.73383,0.22727,0.45083,0.24483,1.48678,2.91567,1.56172,0.000695541,0.000695541,0.000695541
9,40.1724,1.35388,1.78764,1.3363,0.63874,0.14469,0.25163,0.12781,1.58437,3.18486,1.60263,0.0007711,0.0007711,0.0007711
10,44.5987,1.37904,1.75666,1.37798,0.5567,0.11426,0.222,0.11247,1.73612,3.27,1.78419,0.000843566,0.000843566,0.000843566
11,48.9985,1.39602,1.71371,1.38218,0.48758,0.38182,0.34158,0.15754,1.63666,2.96178,1.76716,0.000912938,0.000912938,0.000912938
12,53.4455,1.32936,1.60635,1.32472,0.30614,0.06364,0.05802,0.02275,2.02098,3.75636,1.99607,0.000979216,0.000979216,0.000979216
13,57.8612,1.34616,1.54806,1.33364,0.3366,0.01818,0.01616,0.00706,2.57856,4.1165,2.82821,0.0010424,0.0010424,0.0010424
14,62.2845,1.38163,1.54822,1.3479,0.6212,0.38182,0.40059,0.19742,1.68869,2.89392,1.76455,0.00110249,0.00110249,0.00110249
15,66.7002,1.33702,1.51906,1.32353,0.43475,0.23636,0.28072,0.13016,1.96855,3.02937,2.16775,0.00115949,0.00115949,0.00115949
16,71.151,1.30754,1.43274,1.28713,0.59423,0.24545,0.3265,0.13725,1.91861,2.92685,1.89928,0.00121339,0.00121339,0.00121339
17,75.583,1.34633,1.47681,1.29212,0.3009,0.07273,0.08603,0.029,2.14089,3.25447,2.10073,0.0012642,0.0012642,0.0012642
18,80.0161,1.36432,1.48473,1.38714,0.00505,0.03636,0.00378,0.00094,2.93272,3.96472,2.83949,0.00131192,0.00131192,0.00131192
19,84.4327,1.38286,1.42781,1.36457,0.37996,0.11818,0.09815,0.04335,2.37502,3.28766,2.43474,0.00135654,0.00135654,0.00135654
20,88.8841,1.33806,1.33732,1.32189,0.43797,0.35455,0.31159,0.14016,1.94016,2.54557,1.93249,0.00139807,0.00139807,0.00139807
21,93.3113,1.26769,1.33158,1.27986,0.34442,0.07168,0.0937,0.04203,2.59314,3.28072,2.61836,0.00138125,0.00138125,0.00138125
22,97.7719,1.25589,1.22964,1.26816,0.41436,0.41809,0.30664,0.16482,1.77988,2.42761,1.85066,0.00135031,0.00135031,0.00135031
23,102.221,1.28789,1.22819,1.28755,0.62617,0.4,0.44063,0.23186,1.83143,2.21292,1.925,0.00131938,0.00131938,0.00131938
24,106.649,1.27514,1.20499,1.29227,0.57314,0.26858,0.31228,0.15492,2.15991,2.69528,2.10348,0.00128844,0.00128844,0.00128844
25,111.088,1.26344,1.15523,1.27859,0.49714,0.29662,0.29965,0.13655,2.01781,2.41562,2.05948,0.0012575,0.0012575,0.0012575
26,115.544,1.25851,1.10629,1.27305,0.52639,0.54545,0.53815,0.27327,1.76592,1.78088,1.73285,0.00122656,0.00122656,0.00122656
27,120.047,1.20682,1.13439,1.23833,0.55652,0.5,0.4337,0.19496,1.87606,2.00052,1.8141,0.00119562,0.00119562,0.00119562
28,124.564,1.23705,1.09222,1.26119,0.49542,0.56364,0.44788,0.23805,1.69678,1.94632,1.78957,0.00116469,0.00116469,0.00116469
29,128.991,1.19274,1.03205,1.23361,0.61431,0.50909,0.54449,0.2896,1.67888,1.79481,1.73712,0.00113375,0.00113375,0.00113375
30,133.477,1.22629,1.05588,1.25653,0.59391,0.52727,0.54641,0.30295,1.67793,1.787,1.77756,0.00110281,0.00110281,0.00110281
31,137.993,1.16999,1.03733,1.24527,0.70269,0.66608,0.6917,0.37517,1.6891,1.33122,1.8205,0.00107187,0.00107187,0.00107187
32,142.503,1.12928,0.96694,1.20433,0.69045,0.6286,0.68128,0.36639,1.61509,1.25875,1.78278,0.00104094,0.00104094,0.00104094
33,146.989,1.18113,1.00098,1.23474,0.75659,0.60909,0.70995,0.35836,1.74978,1.39049,1.85339,0.00101,0.00101,0.00101
34,151.484,1.13135,0.96673,1.18678,0.70489,0.65455,0.69334,0.37307,1.65539,1.34863,1.71105,0.000979063,0.000979063,0.000979063
35,155.923,1.14609,0.91813,1.19491,0.69309,0.59539,0.62653,0.33408,1.66538,1.60144,1.72484,0.000948125,0.000948125,0.000948125
36,160.456,1.12936,0.90106,1.1753,0.68114,0.7,0.72416,0.42444,1.47695,1.23108,1.50211,0.000917188,0.000917188,0.000917188
37,164.991,1.14336,0.96294,1.204,0.67398,0.71418,0.7275,0.40084,1.57046,1.31725,1.61363,0.00088625,0.00088625,0.00088625
38,169.513,1.14592,0.92852,1.20591,0.78772,0.64098,0.69764,0.41723,1.44726,1.22899,1.56624,0.000855313,0.000855313,0.000855313
39,174.037,1.11565,0.89428,1.17496,0.75868,0.68595,0.74273,0.41895,1.59069,1.15083,1.63307,0.000824375,0.000824375,0.000824375
40,178.515,1.1303,0.86326,1.19655,0.80615,0.67273,0.79233,0.42615,1.55342,1.13505,1.5937,0.000793437,0.000793437,0.000793437
41,183.15,1.06593,0.82974,1.14146,0.85902,0.70909,0.79895,0.42419,1.56946,1.12289,1.61956,0.0007625,0.0007625,0.0007625
42,187.721,1.04761,0.82084,1.14496,0.84841,0.75455,0.81032,0.48434,1.4621,1.05856,1.49907,0.000731563,0.000731563,0.000731563
43,192.277,1.05296,0.81012,1.14684,0.85442,0.70909,0.78535,0.47197,1.49939,1.04297,1.52541,0.000700625,0.000700625,0.000700625
44,196.856,1.02447,0.7796,1.13524,0.78433,0.76041,0.80582,0.48322,1.4743,0.98969,1.50724,0.000669688,0.000669688,0.000669688
45,201.449,1.01289,0.78406,1.13062,0.84003,0.69091,0.7719,0.45988,1.47839,1.04015,1.45603,0.00063875,0.00063875,0.00063875
46,205.976,0.98663,0.74593,1.10011,0.84135,0.69091,0.76624,0.47479,1.45337,1.00037,1.46522,0.000607812,0.000607812,0.000607812
47,210.473,0.99254,0.73785,1.10695,0.77462,0.69091,0.72763,0.4793,1.36304,1.05326,1.40576,0.000576875,0.000576875,0.000576875
48,215.008,0.94535,0.72657,1.08455,0.56856,0.64545,0.58634,0.35902,1.50066,1.49931,1.54221,0.000545937,0.000545937,0.000545937
49,219.562,1.00352,0.72647,1.09983,0.6897,0.54556,0.62454,0.40186,1.43084,1.40281,1.49578,0.000515,0.000515,0.000515
50,224.214,0.97672,0.72203,1.09544,0.76293,0.73144,0.74488,0.47451,1.4106,1.02973,1.47751,0.000484063,0.000484063,0.000484063
51,228.733,0.96786,0.71891,1.09723,0.80057,0.71818,0.75111,0.48907,1.33371,1.10811,1.4008,0.000453125,0.000453125,0.000453125
52,233.288,0.94793,0.68354,1.0834,0.86934,0.75455,0.82315,0.51112,1.38385,0.93118,1.41851,0.000422187,0.000422187,0.000422187
53,237.889,0.90961,0.69415,1.07228,0.84507,0.73636,0.80064,0.51544,1.36355,0.99534,1.411,0.00039125,0.00039125,0.00039125
54,242.504,0.88317,0.65992,1.04609,0.7912,0.77273,0.79587,0.48265,1.38826,1.02007,1.42362,0.000360313,0.000360313,0.000360313
55,249.495,0.84402,0.7004,1.03809,0.81743,0.71818,0.75884,0.4833,1.38944,1.07088,1.40702,0.000329375,0.000329375,0.000329375
56,254.062,0.82856,0.57947,1.01202,0.83818,0.70637,0.73542,0.46683,1.38016,1.35559,1.39712,0.000298438,0.000298438,0.000298438
57,258.571,0.81923,0.57964,1.02157,0.81864,0.74545,0.78062,0.5031,1.37752,1.18184,1.40786,0.0002675,0.0002675,0.0002675
58,263.237,0.78542,0.55614,0.98476,0.81713,0.77184,0.81906,0.5177,1.37393,1.03292,1.42156,0.000236562,0.000236562,0.000236562
59,268.016,0.78169,0.53503,0.98284,0.87538,0.74545,0.82144,0.53828,1.35341,0.94406,1.40667,0.000205625,0.000205625,0.000205625
60,272.731,0.75528,0.50413,0.96781,0.79674,0.8,0.82367,0.52723,1.35872,0.90089,1.39345,0.000174688,0.000174688,0.000174688
