epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,649.536,1.35224,2.14996,1.39852,0.69262,0.59492,0.64945,0.34174,1.62612,1.61006,1.56156,0.003325,0.003325,0.003325
2,1825.11,1.17313,1.05912,1.20607,0.5473,0.41082,0.38533,0.20864,1.69582,1.88384,1.59897,0.00645234,0.00645234,0.00645234
3,2940.04,1.19481,0.92506,1.22385,0.43997,0.35074,0.30286,0.13686,2.43169,4.14596,2.73393,0.00937343,0.00937343,0.00937343
4,3976.89,1.19084,0.86237,1.21924,0.70294,0.59199,0.63326,0.30612,1.90206,1.49569,1.75776,0.00907188,0.00907188,0.00907188
5,5040.2,1.08382,0.71726,1.15547,0.65127,0.47001,0.51153,0.27827,1.85608,1.68437,1.70723,0.0087625,0.0087625,0.0087625
6,6066.84,1.00831,0.63709,1.10931,0.70143,0.50635,0.58751,0.31215,1.94507,1.46162,1.79581,0.00845313,0.00845313,0.00845313
7,7107.52,0.94789,0.57603,1.07612,0.70021,0.53917,0.59173,0.335,1.95511,1.47492,1.83739,0.00814375,0.00814375,0.00814375
8,8236.9,0.90588,0.54028,1.05333,0.78211,0.60656,0.7034,0.396,1.66964,1.22258,1.59308,0.00783438,0.00783438,0.00783438
9,9335.45,0.8583,0.5017,1.02905,0.81469,0.65032,0.74369,0.44098,1.61624,1.09544,1.56847,0.007525,0.007525,0.007525
10,10236.6,0.83151,0.47851,1.01665,0.71242,0.64335,0.69198,0.41069,1.65378,1.19266,1.59031,0.00721562,0.00721562,0.00721562
11,10614.4,0.80037,0.45726,1.00067,0.76853,0.61272,0.68748,0.38894,1.73368,1.27531,1.66023,0.00690625,0.00690625,0.00690625
12,10964.7,0.77284,0.43832,0.98746,0.72832,0.51941,0.5916,0.33731,1.87318,1.63752,1.6915,0.00659688,0.00659688,0.00659688
13,11311,0.74954,0.42157,0.97976,0.78672,0.6729,0.73734,0.44252,1.6173,1.10547,1.59481,0.0062875,0.0062875,0.0062875
14,11654.1,0.72889,0.40721,0.97052,0.74256,0.63511,0.70443,0.40676,1.80797,1.18705,1.74331,0.00597812,0.00597812,0.00597812
15,12178.7,0.7056,0.39051,0.95971,0.81503,0.67008,0.75746,0.44682,1.62879,1.06336,1.59768,0.00566875,0.00566875,0.00566875
16,12766.8,0.68857,0.38218,0.9502,0.81265,0.67192,0.74367,0.42549,1.7082,1.08578,1.67755,0.00535937,0.00535937,0.00535937
17,13450.2,0.66816,0.36881,0.94403,0.79244,0.64125,0.71034,0.41992,1.70497,1.1781,1.64983,0.00505,0.00505,0.00505
18,14671,0.65525,0.35865,0.93872,0.81017,0.64152,0.71562,0.41558,1.73013,1.17184,1.68361,0.00474063,0.00474063,0.00474063
19,15923.1,0.63317,0.34672,0.92944,0.82399,0.67008,0.73204,0.41211,1.75251,1.14071,1.71414,0.00443125,0.00443125,0.00443125
20,17185.2,0.62168,0.33993,0.92614,0.78755,0.62985,0.69141,0.40014,1.77049,1.22343,1.74122,0.00412187,0.00412187,0.00412187
21,18434.4,0.60001,0.32914,0.91736,0.79158,0.654,0.72345,0.41525,1.77043,1.22026,1.71366,0.0038125,0.0038125,0.0038125
22,19643.1,0.59154,0.32155,0.91516,0.79837,0.61894,0.69963,0.40196,1.78956,1.27495,1.74499,0.00350313,0.00350313,0.00350313
23,20879.6,0.50126,0.24919,0.85262,0.75813,0.62068,0.69491,0.4069,1.74983,1.18414,1.68167,0.00319375,0.00319375,0.00319375
24,21752.2,0.4666,0.23495,0.83789,0.81896,0.68843,0.76393,0.44029,1.70981,1.11148,1.66572,0.00288438,0.00288438,0.00288438
25,22202.8,0.44388,0.22696,0.8299,0.81225,0.66408,0.74412,0.43043,1.72707,1.16875,1.70155,0.002575,0.002575,0.002575
26,22648.8,0.42373,0.21722,0.82287,0.77124,0.66867,0.73169,0.42754,1.73695,1.15794,1.73375,0.00226562,0.00226562,0.00226562
27,23085.3,0.40466,0.2068,0.81686,0.82929,0.6355,0.74234,0.43394,1.74529,1.17677,1.73911,0.00195625,0.00195625,0.00195625
28,23436.4,0.38337,0.19722,0.81043,0.78039,0.67643,0.7519,0.44151,1.74397,1.14611,1.74535,0.00164688,0.00164688,0.00164688
29,23784.8,0.36454,0.19032,0.80807,0.81247,0.65585,0.75273,0.44211,1.74673,1.14656,1.75679,0.0013375,0.0013375,0.0013375
30,24151.9,0.34909,0.18318,0.8012,0.78338,0.68268,0.75527,0.44009,1.76112,1.13621,1.77386,0.00102812,0.00102812,0.00102812
31,24486.9,0.33121,0.17456,0.79653,0.77715,0.68207,0.75169,0.44119,1.76527,1.15617,1.78802,0.00071875,0.00071875,0.00071875
32,24820.2,0.31314,0.16697,0.79524,0.77932,0.6816,0.75191,0.44138,1.76171,1.1634,1.79653,0.000409375,0.000409375,0.000409375
