epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.89904,1.95796,3.64186,1.97119,0.00375,0.80488,0.00669,0.00197,2.35756,3.93655,2.34346,0.00018,0.00018,0.00018
2,55.9012,1.62373,3.06979,1.57555,0.00455,0.97561,0.19463,0.07103,1.91078,3.42836,1.61126,0.000374122,0.000374122,0.000374122
3,63.7851,1.46359,2.13502,1.40814,0.71619,0.06174,0.24781,0.10912,1.84438,3.35237,1.6062,0.000562056,0.000562056,0.000562056
4,71.7161,1.42213,1.91654,1.38658,0.59468,0.26829,0.34545,0.13419,1.85569,3.12136,1.7619,0.000743803,0.000743803,0.000743803
5,79.6069,1.43437,1.82177,1.38397,0.06981,0.23577,0.06437,0.0268,2.23062,3.59182,2.00471,0.000919363,0.000919363,0.000919363
6,87.4432,1.38841,1.68681,1.37063,0.57822,0.03355,0.06754,0.01941,2.23926,3.65502,2.13479,0.00108873,0.00108873,0.00108873
7,95.4421,1.38771,1.59534,1.37564,0.0572,0.04065,0.03632,0.01267,2.28322,3.55474,2.21781,0.00125192,0.00125192,0.00125192
8,103.414,1.35301,1.45636,1.35616,0.65829,0.0813,0.21067,0.07641,1.93091,3.17454,2.03072,0.00140892,0.00140892,0.00140892
9,111.359,1.36557,1.44777,1.37737,0.37057,0.04065,0.04952,0.01539,2.33275,3.48242,2.82477,0.00155972,0.00155972,0.00155972
10,119.267,1.38283,1.39008,1.36777,0.24314,0.00813,0.0399,0.01585,2.59326,3.33264,2.50581,0.00170435,0.00170435,0.00170435
11,127.235,1.35429,1.27713,1.34062,0.46585,0.18699,0.21869,0.083,1.94294,2.77061,1.80355,0.00169063,0.00169063,0.00169063
12,135.185,1.37533,1.28076,1.35918,0.06903,0.21951,0.03601,0.01197,2.48214,5.18932,2.63567,0.00165969,0.00165969,0.00165969
13,143.169,1.30869,1.18209,1.31559,0.07661,0.19512,0.03966,0.01331,2.10554,3.27449,2.15975,0.00162875,0.00162875,0.00162875
14,151.291,1.29882,1.12951,1.30369,0.35356,0.33333,0.28691,0.12363,1.89855,2.31661,1.81316,0.00159781,0.00159781,0.00159781
15,159.444,1.30406,1.13228,1.31008,0.20289,0.38211,0.21691,0.09563,1.86928,2.63061,1.80963,0.00156688,0.00156688,0.00156688
16,167.568,1.28652,1.09038,1.28776,0.53615,0.26016,0.30533,0.14184,1.93044,2.36424,1.86738,0.00153594,0.00153594,0.00153594
17,175.851,1.27075,1.06921,1.29969,0.70471,0.43089,0.51976,0.23332,1.94729,1.81807,1.91044,0.001505,0.001505,0.001505
18,184.042,1.27863,1.02808,1.28371,0.60045,0.57724,0.57362,0.26616,1.75726,2.05921,1.76327,0.00147406,0.00147406,0.00147406
19,192.497,1.25407,0.98035,1.2609,0.43602,0.39837,0.38929,0.1774,1.97867,3.02684,2.11969,0.00144312,0.00144312,0.00144312
20,201.52,1.21448,0.95121,1.25998,0.06234,0.18974,0.03188,0.01,2.63968,4.95414,2.70899,0.00141219,0.00141219,0.00141219
21,209.651,1.22677,0.94909,1.25557,0.67774,0.58136,0.61678,0.33316,1.64297,1.49661,1.53057,0.00138125,0.00138125,0.00138125
22,217.752,1.17649,0.91689,1.23316,0.7889,0.63807,0.69845,0.38218,1.54155,1.39256,1.47878,0.00135031,0.00135031,0.00135031
