epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.62824,2.01904,3.67246,2.04377,0.00342,0.74545,0.00711,0.00185,2.35479,3.95214,2.41331,8e-05,8e-05,8e-05
2,9.031,1.9718,3.69022,2.01153,0.00342,0.74545,0.01153,0.00302,2.30624,3.90472,2.33335,0.00014436,0.00014436,0.00014436
3,13.3319,1.78185,3.43092,1.74257,0.00408,0.89091,0.10903,0.04178,2.02741,3.6174,1.76417,0.00016912,0.00016912,0.00016912
4,17.8249,1.46523,2.962,1.42545,0.00408,0.89091,0.18471,0.06108,2.10127,3.54878,1.75223,0.00015428,0.00015428,0.00015428
5,22.3703,1.39951,2.62395,1.35673,0.00425,0.92727,0.21851,0.07115,2.05474,3.43458,1.70724,9.984e-05,9.984e-05,9.984e-05
